agent,participant,round,attempt_id,agent_step,attempt_recolor_step,state_before,region,old_color,new_color,source_step,is_final_attempt
human,FlorenceYeoh,5,1,56,6,1 1 2 2 0 3 3 1 0 0 1 2 2 2 0 3 1 0 3 0 0 1 1 3 3 2 3 1 3 1 0 0 3 0 0 1 1 2 2 0 1 2 2 0 1,10,1,0,61,True
human,FlorenceYeoh,5,1,57,7,1 1 2 2 0 3 3 1 0 0 0 2 2 2 0 3 1 0 3 0 0 1 1 3 3 2 3 1 3 1 0 0 3 0 0 1 1 2 2 0 1 2 2 0 1,10,0,2,62,True
human,FlorenceYeoh,5,1,58,8,1 1 2 2 0 3 3 1 0 0 2 2 2 2 0 3 1 0 3 0 0 1 1 3 3 2 3 1 3 1 0 0 3 0 0 1 1 2 2 0 1 2 2 0 1,38,2,1,63,True
human,FlorenceYeoh,5,1,59,9,1 1 2 2 0 3 3 1 0 0 2 2 2 2 0 3 1 0 3 0 0 1 1 3 3 2 3 1 3 1 0 0 3 0 0 1 1 2 1 0 1 2 2 0 1,21,1,3,64,True
human,FlorenceYeoh,5,1,60,10,1 1 2 2 0 3 3 1 0 0 2 2 2 2 0 3 1 0 3 0 0 3 1 3 3 2 3 1 3 1 0 0 3 0 0 1 1 2 1 0 1 2 2 0 1,28,3,2,65,True
human,FlorenceYeoh,5,1,61,11,1 1 2 2 0 3 3 1 0 0 2 2 2 2 0 3 1 0 3 0 0 3 1 3 3 2 3 1 2 1 0 0 3 0 0 1 1 2 1 0 1 2 2 0 1,3,2,3,66,True
human,FlorenceYeoh,5,1,62,12,1 1 2 3 0 3 3 1 0 0 2 2 2 2 0 3 1 0 3 0 0 3 1 3 3 2 3 1 2 1 0 0 3 0 0 1 1 2 1 0 1 2 2 0 1,5,3,0,67,True
human,FlorenceYeoh,5,1,63,13,1 1 2 3 0 0 3 1 0 0 2 2 2 2 0 3 1 0 3 0 0 3 1 3 3 2 3 1 2 1 0 0 3 0 0 1 1 2 1 0 1 2 2 0 1,19,0,3,68,True
human,FlorenceYeoh,6,1,64,1,0 2 0 3 3 1 0 3 3 3 2 2 0 1 0 2 1 1 3 1 1 1 0 1 0 2 0 2 0 1 0 2 3 2 2 2 1 1 1 0 2 1 0 1 2,4,3,1,70,True
human,FlorenceYeoh,6,1,65,2,0 2 0 3 1 1 0 3 3 3 2 2 0 1 0 2 1 1 3 1 1 1 0 1 0 2 0 2 0 1 0 2 3 2 2 2 1 1 1 0 2 1 0 1 2,23,1,3,71,True
human,FlorenceYeoh,6,1,66,3,0 2 0 3 1 1 0 3 3 3 2 2 0 1 0 2 1 1 3 1 1 1 0 3 0 2 0 2 0 1 0 2 3 2 2 2 1 1 1 0 2 1 0 1 2,17,1,0,72,True
human,FlorenceYeoh,6,1,67,4,0 2 0 3 1 1 0 3 3 3 2 2 0 1 0 2 1 0 3 1 1 1 0 3 0 2 0 2 0 1 0 2 3 2 2 2 1 1 1 0 2 1 0 1 2,26,0,3,73,True
human,FlorenceYeoh,6,1,68,5,0 2 0 3 1 1 0 3 3 3 2 2 0 1 0 2 1 0 3 1 1 1 0 3 0 2 3 2 0 1 0 2 3 2 2 2 1 1 1 0 2 1 0 1 2,14,0,1,74,True
