agent,participant,round,attempt_id,agent_step,attempt_recolor_step,state_before,region,old_color,new_color,source_step,is_final_attempt
human,FlorenceYeoh,10,1,113,2,3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 3 0 3 2 2 2 1 0 0 0 0 1 2 0 2 0 1 1 1 0 0 1 0 3 3 1 0 2,43,0,3,123,True
human,FlorenceYeoh,10,1,114,3,3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 3 0 3 2 2 2 1 0 0 0 0 1 2 0 2 0 1 1 1 0 0 1 0 3 3 1 3 2,25,0,2,124,True
human,FlorenceYeoh,10,1,115,4,3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 3 0 3 2 2 2 1 0 2 0 0 1 2 0 2 0 1 1 1 0 0 1 0 3 3 1 3 2,31,2,0,125,True
human,FlorenceYeoh,10,1,116,5,3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 3 0 3 2 2 2 1 0 2 0 0 1 2 0 0 0 1 1 1 0 0 1 0 3 3 1 3 2,17,3,0,126,True
human,FlorenceYeoh,10,1,117,6,3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 0 0 3 2 2 2 1 0 2 0 0 1 2 0 0 0 1 1 1 0 0 1 0 3 3 1 3 2,26,0,3,127,True
human,FlorenceYeoh,10,1,118,7,3 0 3 3 0 2 0 0 1 1 1 2 2 2 0 1 1 0 0 3 2 2 2 1 0 2 3 0 1 2 0 0 0 1 1 1 0 0 1 0 3 3 1 3 2,14,0,1,128,True
human,FlorenceYeoh,10,1,119,8,3 0 3 3 0 2 0 0 1 1 1 2 2 2 1 1 1 0 0 3 2 2 2 1 0 2 3 0 1 2 0 0 0 1 1 1 0 0 1 0 3 3 1 3 2,34,1,3,129,True
human,FlorenceYeoh,11,1,120,1,0 3 1 2 1 2 2 0 3 3 1 0 1 0 1 3 2 2 2 2 2 0 0 0 0 2 3 1 1 1 2 0 1 3 1 3 2 0 3 0 0 1 2 0 1,8,3,1,131,True
human,FlorenceYeoh,11,1,121,2,0 3 1 2 1 2 2 0 1 3 1 0 1 0 1 3 2 2 2 2 2 0 0 0 0 2 3 1 1 1 2 0 1 3 1 3 2 0 3 0 0 1 2 0 1,2,1,3,132,True
human,FlorenceYeoh,11,1,122,3,0 3 3 2 1 2 2 0 1 3 1 0 1 0 1 3 2 2 2 2 2 0 0 0 0 2 3 1 1 1 2 0 1 3 1 3 2 0 3 0 0 1 2 0 1,26,3,1,133,True
human,FlorenceYeoh,11,1,123,4,0 3 3 2 1 2 2 0 1 3 1 0 1 0 1 3 2 2 2 2 2 0 0 0 0 2 1 1 1 1 2 0 1 3 1 3 2 0 3 0 0 1 2 0 1,11,0,3,134,True
human,FlorenceYeoh,11,1,124,5,0 3 3 2 1 2 2 0 1 3 1 3 1 0 1 3 2 2 2 2 2 0 0 0 0 2 1 1 1 1 2 0 1 3 1 3 2 0 3 0 0 1 2 0 1,34,1,2,135,True
human,FlorenceYeoh,11,1,125,6,0 3 3 2 1 2 2 0 1 3 1 3 1 0 1 3 2 2 2 2 2 0 0 0 0 2 1 1 1 1 2 0 1 3 2 3 2 0 3 0 0 1 2 0 1,13,0,2,136,True
human,FlorenceYeoh,11,1,126,7,0 3 3 2 1 2 2 0 1 3 1 3 1 2 1 3 2 2 2 2 2 0 0 0 0 2 1 1 1 1 2 0 1 3 2 3 2 0 3 0 0 1 2 0 1,30,2,0,137,True
human,FlorenceYeoh,12,1,127,1,1 3 3 0 0 3 3 3 0 1 1 3 0 0 2 0 3 2 1 2 0 1 1 3 1 0 3 1 2 0 2 2 0 2 2 1 0 1 2 1 0 3 3 3 3,20,0,3,139,True
human,FlorenceYeoh,12,1,128,2,1 3 3 0 0 3 3 3 0 1 1 3 0 0 2 0 3 2 1 2 3 1 1 3 1 0 3 1 2 0 2 2 0 2 2 1 0 1 2 1 0 3 3 3 3,20,3,0,140,True
human,FlorenceYeoh,12,1,129,3,1 3 3 0 0 3 3 3 0 1 1 3 0 0 2 0 3 2 1 2 0 1 1 3 1 0 3 1 2 0 2 2 0 2 2 1 0 1 2 1 0 3 3 3 3,40,0,3,141,True
human,FlorenceYeoh,12,1,130,4,1 3 3 0 0 3 3 3 0 1 1 3 0 0 2 0 3 2 1 2 0 1 1 3 1 0 3 1 2 0 2 2 0 2 2 1 0 1 2 1 3 3 3 3 3,42,3,0,142,True
human,FlorenceYeoh,12,1,131,5,1 3 3 0 0 3 3 3 0 1 1 3 0 0 2 0 3 2 1 2 0 1 1 3 1 0 3 1 2 0 2 2 0 2 2 1 0 1 2 1 3 3 0 3 3,32,0,3,143,True
human,FlorenceYeoh,12,1,132,6,1 3 3 0 0 3 3 3 0 1 1 3 0 0 2 0 3 2 1 2 0 1 1 3 1 0 3 1 2 0 2 2 3 2 2 1 0 1 2 1 3 3 0 3 3,7,3,2,144,True
human,FlorenceYeoh,12,1,133,7,1 3 3 0 0 3 3 2 0 1 1 3 0 0 2 0 3 2 1 2 0 1 1 3 1 0 3 1 2 0 2 2 3 2 2 1 0 1 2 1 3 3 0 3 3,33,2,0,145,True
human,FlorenceYeoh,12,1,134,8,1 3 3 0 0 3 3 2 0 1 1 3 0 0 2 0 3 2 1 2 0 1 1 3 1 0 3 1 2 0 2 2 3 0 2 1 0 1 2 1 3 3 0 3 3,33,0,3,146,True
human,FlorenceYeoh,12,1,135,9,1 3 3 0 0 3 3 2 0 1 1 3 0 0 2 0 3 2 1 2 0 1 1 3 1 0 3 1 2 0 2 2 3 3 2 1 0 1 2 1 3 3 0 3 3,16,3,2,147,True
human,FlorenceYeoh,12,1,136,10,1 3 3 0 0 3 3 2 0 1 1 3 0 0 2 0 2 2 1 2 0 1 1 3 1 0 3 1 2 0 2 2 3 3 2 1 0 1 2 1 3 3 0 3 3,3,0,1,148,True
human,FlorenceYeoh,12,1,137,11,1 3 3 1 0 3 3 2 0 1 1 3 0 0 2 0 2 2 1 2 0 1 1 3 1 0 3 1 2 0 2 2 3 3 2 1 0 1 2 1 3 3 0 3 3,5,3,2,149,True
human,FlorenceYeoh,12,1,138,12,1 3 3 1 0 2 3 2 0 1 1 3 0 0 2 0 2 2 1 2 0 1 1 3 1 0 3 1 2 0 2 2 3 3 2 1 0 1 2 1 3 3 0 3 3,25,0,1,150,True
human,FlorenceYeoh,13,1,139,1,1 3 1 3 1 3 3 1 2 0 1 3 3 1 2 1 0 3 1 3 2 0 0 3 0 3 2 2 0 2 1 1 3 1 1 2 0 0 1 0 0 0 2 0 0,21,0,3,152,True
human,FlorenceYeoh,13,1,140,2,1 3 1 3 1 3 3 1 2 0 1 3 3 1 2 1 0 3 1 3 2 3 0 3 0 3 2 2 0 2 1 1 3 1 1 2 0 0 1 0 0 0 2 0 0,11,3,1,153,True
human,FlorenceYeoh,13,1,141,3,1 3 1 3 1 3 3 1 2 0 1 1 3 1 2 1 0 3 1 3 2 3 0 3 0 3 2 2 0 2 1 1 3 1 1 2 0 0 1 0 0 0 2 0 0,21,3,0,154,True
human,FlorenceYeoh,13,1,142,4,1 3 1 3 1 3 3 1 2 0 1 1 3 1 2 1 0 3 1 3 2 0 0 3 0 3 2 2 0 2 1 1 3 1 1 2 0 0 1 0 0 0 2 0 0,0,1,0,155,True
human,FlorenceYeoh,13,1,143,5,0 3 1 3 1 3 3 1 2 0 1 1 3 1 2 1 0 3 1 3 2 0 0 3 0 3 2 2 0 2 1 1 3 1 1 2 0 0 1 0 0 0 2 0 0,22,0,3,156,True
human,FlorenceYeoh,13,1,144,6,0 3 1 3 1 3 3 1 2 0 1 1 3 1 2 1 0 3 1 3 2 0 3 3 0 3 2 2 0 2 1 1 3 1 1 2 0 0 1 0 0 0 2 0 0,21,0,3,157,True
human,FlorenceYeoh,13,1,145,7,0 3 1 3 1 3 3 1 2 0 1 1 3 1 2 1 0 3 1 3 2 3 3 3 0 3 2 2 0 2 1 1 3 1 1 2 0 0 1 0 0 0 2 0 0,10,1,2,158,True
human,FlorenceYeoh,13,1,146,8,0 3 1 3 1 3 3 1 2 0 2 1 3 1 2 1 0 3 1 3 2 3 3 3 0 3 2 2 0 2 1 1 3 1 1 2 0 0 1 0 0 0 2 0 0,34,1,3,159,True
human,FlorenceYeoh,13,1,147,9,0 3 1 3 1 3 3 1 2 0 2 1 3 1 2 1 0 3 1 3 2 3 3 3 0 3 2 2 0 2 1 1 3 1 3 2 0 0 1 0 0 0 2 0 0,36,0,2,160,True
human,FlorenceYeoh,13,1,148,10,0 3 1 3 1 3 3 1 2 0 2 1 3 1 2 1 0 3 1 3 2 3 3 3 0 3 2 2 0 2 1 1 3 1 3 2 2 0 1 0 0 0 2 0 0,8,2,3,161,True
human,FlorenceYeoh,13,1,149,11,0 3 1 3 1 3 3 1 3 0 2 1 3 1 2 1 0 3 1 3 2 3 3 3 0 3 2 2 0 2 1 1 3 1 3 2 2 0 1 0 0 0 2 0 0,21,3,0,162,True
human,FlorenceYeoh,13,1,150,12,0 3 1 3 1 3 3 1 3 0 2 1 3 1 2 1 0 3 1 3 2 0 3 3 0 3 2 2 0 2 1 1 3 1 3 2 2 0 1 0 0 0 2 0 0,0,0,2,163,True
human,FlorenceYeoh,13,1,151,13,2 3 1 3 1 3 3 1 3 0 2 1 3 1 2 1 0 3 1 3 2 0 3 3 0 3 2 2 0 2 1 1 3 1 3 2 2 0 1 0 0 0 2 0 0,1,3,0,164,True
human,FlorenceYeoh,14,1,152,1,3 3 0 2 2 0 1 1 3 2 3 3 0 2 3 1 1 1 0 2 3 3 2 2 1 1 0 0 0 1 2 2 3 1 0 2 1 2 1 0 2 3 2 3 3,9,2,0,166,True
human,FlorenceYeoh,14,1,153,2,3 3 0 2 2 0 1 1 3 0 3 3 0 2 3 1 1 1 0 2 3 3 2 2 1 1 0 0 0 1 2 2 3 1 0 2 1 2 1 0 2 3 2 3 3,7,1,0,167,True
human,FlorenceYeoh,14,1,154,3,3 3 0 2 2 0 1 0 3 0 3 3 0 2 3 1 1 1 0 2 3 3 2 2 1 1 0 0 0 1 2 2 3 1 0 2 1 2 1 0 2 3 2 3 3,12,0,2,168,True
human,FlorenceYeoh,14,1,155,4,3 3 0 2 2 0 1 0 3 0 3 3 2 2 3 1 1 1 0 2 3 3 2 2 1 1 0 0 0 1 2 2 3 1 0 2 1 2 1 0 2 3 2 3 3,31,2,3,169,True
human,FlorenceYeoh,14,1,156,5,3 3 0 2 2 0 1 0 3 0 3 3 2 2 3 1 1 1 0 2 3 3 2 2 1 1 0 0 0 1 2 3 3 1 0 2 1 2 1 0 2 3 2 3 3,23,2,1,170,True
human,FlorenceYeoh,14,1,157,6,3 3 0 2 2 0 1 0 3 0 3 3 2 2 3 1 1 1 0 2 3 3 2 1 1 1 0 0 0 1 2 3 3 1 0 2 1 2 1 0 2 3 2 3 3,15,1,2,171,True
human,FlorenceYeoh,14,1,158,7,3 3 0 2 2 0 1 0 3 0 3 3 2 2 3 2 1 1 0 2 3 3 2 1 1 1 0 0 0 1 2 3 3 1 0 2 1 2 1 0 2 3 2 3 3,12,2,1,172,True
human,FlorenceYeoh,14,1,159,8,3 3 0 2 2 0 1 0 3 0 3 3 1 2 3 2 1 1 0 2 3 3 2 1 1 1 0 0 0 1 2 3 3 1 0 2 1 2 1 0 2 3 2 3 3,0,3,0,173,True
human,FlorenceYeoh,14,1,160,9,0 3 0 2 2 0 1 0 3 0 3 3 1 2 3 2 1 1 0 2 3 3 2 1 1 1 0 0 0 1 2 3 3 1 0 2 1 2 1 0 2 3 2 3 3,44,3,0,174,True
human,FlorenceYeoh,14,1,161,10,0 3 0 2 2 0 1 0 3 0 3 3 1 2 3 2 1 1 0 2 3 3 2 1 1 1 0 0 0 1 2 3 3 1 0 2 1 2 1 0 2 3 2 3 0,0,0,3,175,True
human,FlorenceYeoh,15,1,162,1,0 2 1 2 1 2 1 0 3 2 0 2 0 1 2 0 0 0 3 3 0 3 2 3 1 3 1 1 1 3 1 0 3 1 3 3 1 1 1 1 2 3 3 0 0,20,0,3,177,True
human,FlorenceYeoh,15,1,163,2,0 2 1 2 1 2 1 0 3 2 0 2 0 1 2 0 0 0 3 3 3 3 2 3 1 3 1 1 1 3 1 0 3 1 3 3 1 1 1 1 2 3 3 0 0,21,3,0,178,True
human,FlorenceYeoh,15,1,164,3,0 2 1 2 1 2 1 0 3 2 0 2 0 1 2 0 0 0 3 3 3 0 2 3 1 3 1 1 1 3 1 0 3 1 3 3 1 1 1 1 2 3 3 0 0,21,0,2,179,True
human,FlorenceYeoh,15,1,165,4,0 2 1 2 1 2 1 0 3 2 0 2 0 1 2 0 0 0 3 3 3 2 2 3 1 3 1 1 1 3 1 0 3 1 3 3 1 1 1 1 2 3 3 0 0,27,1,3,180,True
human,FlorenceYeoh,15,1,166,5,0 2 1 2 1 2 1 0 3 2 0 2 0 1 2 0 0 0 3 3 3 2 2 3 1 3 1 3 1 3 1 0 3 1 3 3 1 1 1 1 2 3 3 0 0,3,2,3,181,True
human,FlorenceYeoh,15,1,167,6,0 2 1 3 1 2 1 0 3 2 0 2 0 1 2 0 0 0 3 3 3 2 2 3 1 3 1 3 1 3 1 0 3 1 3 3 1 1 1 1 2 3 3 0 0,3,3,1,182,True
human,FlorenceYeoh,15,1,168,7,0 2 1 1 1 2 1 0 3 2 0 2 0 1 2 0 0 0 3 3 3 2 2 3 1 3 1 3 1 3 1 0 3 1 3 3 1 1 1 1 2 3 3 0 0,2,1,2,183,True
human,FlorenceYeoh,15,1,169,8,0 2 2 1 1 2 1 0 3 2 0 2 0 1 2 0 0 0 3 3 3 2 2 3 1 3 1 3 1 3 1 0 3 1 3 3 1 1 1 1 2 3 3 0 0,0,0,2,184,True
human,FlorenceYeoh,16,1,170,1,3 2 1 0 3 1 3 2 3 1 0 1 3 2 2 3 0 3 2 0 3 2 2 0 1 3 3 1 0 3 3 2 0 1 2 3 2 0 0 2 3 0 3 0 0,20,3,0,186,True
human,FlorenceYeoh,16,1,171,2,3 2 1 0 3 1 3 2 3 1 0 1 3 2 2 3 0 3 2 0 0 2 2 0 1 3 3 1 0 3 3 2 0 1 2 3 2 0 0 2 3 0 3 0 0,44,0,2,187,True
human,FlorenceYeoh,16,1,172,3,3 2 1 0 3 1 3 2 3 1 0 1 3 2 2 3 0 3 2 0 0 2 2 0 1 3 3 1 0 3 3 2 0 1 2 3 2 0 0 2 3 0 3 0 2,30,3,0,188,True
human,FlorenceYeoh,16,1,173,4,3 2 1 0 3 1 3 2 3 1 0 1 3 2 2 3 0 3 2 0 0 2 2 0 1 3 3 1 0 3 0 2 0 1 2 3 2 0 0 2 3 0 3 0 2,0,3,0,189,True
human,FlorenceYeoh,16,1,174,5,0 2 1 0 3 1 3 2 3 1 0 1 3 2 2 3 0 3 2 0 0 2 2 0 1 3 3 1 0 3 0 2 0 1 2 3 2 0 0 2 3 0 3 0 2,40,3,0,190,True
human,FlorenceYeoh,16,1,175,6,0 2 1 0 3 1 3 2 3 1 0 1 3 2 2 3 0 3 2 0 0 2 2 0 1 3 3 1 0 3 0 2 0 1 2 3 2 0 0 2 0 0 3 0 2,23,0,2,191,True
human,FlorenceYeoh,16,1,176,7,0 2 1 0 3 1 3 2 3 1 0 1 3 2 2 3 0 3 2 0 0 2 2 2 1 3 3 1 0 3 0 2 0 1 2 3 2 0 0 2 0 0 3 0 2,1,2,0,192,True
human,FlorenceYeoh,16,1,177,8,0 0 1 0 3 1 3 2 3 1 0 1 3 2 2 3 0 3 2 0 0 2 2 2 1 3 3 1 0 3 0 2 0 1 2 3 2 0 0 2 0 0 3 0 2,1,0,3,193,True
human,FlorenceYeoh,16,1,178,9,0 3 1 0 3 1 3 2 3 1 0 1 3 2 2 3 0 3 2 0 0 2 2 2 1 3 3 1 0 3 0 2 0 1 2 3 2 0 0 2 0 0 3 0 2,13,2,3,194,True
human,FlorenceYeoh,16,1,179,10,0 3 1 0 3 1 3 2 3 1 0 1 3 3 2 3 0 3 2 0 0 2 2 2 1 3 3 1 0 3 0 2 0 1 2 3 2 0 0 2 0 0 3 0 2,4,3,2,195,True
human,FlorenceYeoh,16,1,180,11,0 3 1 0 2 1 3 2 3 1 0 1 3 3 2 3 0 3 2 0 0 2 2 2 1 3 3 1 0 3 0 2 0 1 2 3 2 0 0 2 0 0 3 0 2,22,2,1,196,True
human,FlorenceYeoh,16,1,181,12,0 3 1 0 2 1 3 2 3 1 0 1 3 3 2 3 0 3 2 0 0 2 1 2 1 3 3 1 0 3 0 2 0 1 2 3 2 0 0 2 0 0 3 0 2,6,3,2,197,True
human,FlorenceYeoh,16,1,182,13,0 3 1 0 2 1 2 2 3 1 0 1 3 3 2 3 0 3 2 0 0 2 1 2 1 3 3 1 0 3 0 2 0 1 2 3 2 0 0 2 0 0 3 0 2,41,0,3,198,True
human,FlorenceYeoh,16,1,183,14,0 3 1 0 2 1 2 2 3 1 0 1 3 3 2 3 0 3 2 0 0 2 1 2 1 3 3 1 0 3 0 2 0 1 2 3 2 0 0 2 0 3 3 0 2,42,3,0,199,True
human,FlorenceYeoh,16,1,184,15,0 3 1 0 2 1 2 2 3 1 0 1 3 3 2 3 0 3 2 0 0 2 1 2 1 3 3 1 0 3 0 2 0 1 2 3 2 0 0 2 0 3 0 0 2,28,0,3,200,True
human,FlorenceYeoh,16,1,185,16,0 3 1 0 2 1 2 2 3 1 0 1 3 3 2 3 0 3 2 0 0 2 1 2 1 3 3 1 3 3 0 2 0 1 2 3 2 0 0 2 0 3 0 0 2,28,3,1,201,True
human,FlorenceYeoh,16,1,186,17,0 3 1 0 2 1 2 2 3 1 0 1 3 3 2 3 0 3 2 0 0 2 1 2 1 3 3 1 1 3 0 2 0 1 2 3 2 0 0 2 0 3 0 0 2,1,3,0,202,True
human,FlorenceYeoh,16,1,187,18,0 0 1 0 2 1 2 2 3 1 0 1 3 3 2 3 0 3 2 0 0 2 1 2 1 3 3 1 1 3 0 2 0 1 2 3 2 0 0 2 0 3 0 0 2,21,2,3,203,True
human,FlorenceYeoh,16,1,188,19,0 0 1 0 2 1 2 2 3 1 0 1 3 3 2 3 0 3 2 0 0 3 1 2 1 3 3 1 1 3 0 2 0 1 2 3 2 0 0 2 0 3 0 0 2,12,3,2,204,True
human,FlorenceYeoh,16,1,189,20,0 0 1 0 2 1 2 2 3 1 0 1 2 3 2 3 0 3 2 0 0 3 1 2 1 3 3 1 1 3 0 2 0 1 2 3 2 0 0 2 0 3 0 0 2,25,3,1,205,True
human,FlorenceYeoh,16,1,190,21,0 0 1 0 2 1 2 2 3 1 0 1 2 3 2 3 0 3 2 0 0 3 1 2 1 1 3 1 1 3 0 2 0 1 2 3 2 0 0 2 0 3 0 0 2,33,1,3,206,True
human,FlorenceYeoh,17,1,191,1,2 0 3 3 2 1 2 2 2 0 3 3 1 3 3 1 0 3 3 3 1 0 2 2 3 2 1 1 0 1 0 0 2 3 3 1 3 2 1 2 0 1 3 1 3,23,2,1,208,True
human,FlorenceYeoh,17,1,192,2,2 0 3 3 2 1 2 2 2 0 3 3 1 3 3 1 0 3 3 3 1 0 2 1 3 2 1 1 0 1 0 0 2 3 3 1 3 2 1 2 0 1 3 1 3,23,1,0,209,True
human,FlorenceYeoh,17,1,193,3,2 0 3 3 2 1 2 2 2 0 3 3 1 3 3 1 0 3 3 3 1 0 2 0 3 2 1 1 0 1 0 0 2 3 3 1 3 2 1 2 0 1 3 1 3,1,0,3,210,True
human,FlorenceYeoh,17,1,194,4,2 3 3 3 2 1 2 2 2 0 3 3 1 3 3 1 0 3 3 3 1 0 2 0 3 2 1 1 0 1 0 0 2 3 3 1 3 2 1 2 0 1 3 1 3,36,3,1,211,True
human,FlorenceYeoh,17,1,195,5,2 3 3 3 2 1 2 2 2 0 3 3 1 3 3 1 0 3 3 3 1 0 2 0 3 2 1 1 0 1 0 0 2 3 3 1 1 2 1 2 0 1 3 1 3,30,0,2,212,True
human,FlorenceYeoh,17,1,196,6,2 3 3 3 2 1 2 2 2 0 3 3 1 3 3 1 0 3 3 3 1 0 2 0 3 2 1 1 0 1 2 0 2 3 3 1 1 2 1 2 0 1 3 1 3,30,2,0,213,True
human,FlorenceYeoh,17,1,197,7,2 3 3 3 2 1 2 2 2 0 3 3 1 3 3 1 0 3 3 3 1 0 2 0 3 2 1 1 0 1 0 0 2 3 3 1 1 2 1 2 0 1 3 1 3,31,0,1,214,True
human,FlorenceYeoh,17,1,198,8,2 3 3 3 2 1 2 2 2 0 3 3 1 3 3 1 0 3 3 3 1 0 2 0 3 2 1 1 0 1 0 1 2 3 3 1 1 2 1 2 0 1 3 1 3,19,3,1,215,True
human,FlorenceYeoh,17,1,199,9,2 3 3 3 2 1 2 2 2 0 3 3 1 3 3 1 0 3 3 1 1 0 2 0 3 2 1 1 0 1 0 1 2 3 3 1 1 2 1 2 0 1 3 1 3,26,1,2,216,True
human,FlorenceYeoh,17,1,200,10,2 3 3 3 2 1 2 2 2 0 3 3 1 3 3 1 0 3 3 1 1 0 2 0 3 2 2 1 0 1 0 1 2 3 3 1 1 2 1 2 0 1 3 1 3,18,3,0,217,True
human,FlorenceYeoh,18,1,201,1,1 3 0 2 3 1 0 1 1 0 2 3 0 2 3 2 2 1 2 3 2 0 0 0 3 3 3 1 0 1 0 1 1 0 0 2 2 1 1 0 0 2 3 1 3,23,0,3,219,True
human,FlorenceYeoh,18,1,202,2,1 3 0 2 3 1 0 1 1 0 2 3 0 2 3 2 2 1 2 3 2 0 0 3 3 3 3 1 0 1 0 1 1 0 0 2 2 1 1 0 0 2 3 1 3,44,3,0,220,True
human,FlorenceYeoh,18,1,203,3,1 3 0 2 3 1 0 1 1 0 2 3 0 2 3 2 2 1 2 3 2 0 0 3 3 3 3 1 0 1 0 1 1 0 0 2 2 1 1 0 0 2 3 1 0,28,0,3,221,True
human,FlorenceYeoh,18,1,204,4,1 3 0 2 3 1 0 1 1 0 2 3 0 2 3 2 2 1 2 3 2 0 0 3 3 3 3 1 3 1 0 1 1 0 0 2 2 1 1 0 0 2 3 1 0,11,3,2,222,True
human,FlorenceYeoh,18,1,205,5,1 3 0 2 3 1 0 1 1 0 2 2 0 2 3 2 2 1 2 3 2 0 0 3 3 3 3 1 3 1 0 1 1 0 0 2 2 1 1 0 0 2 3 1 0,18,2,0,223,True
human,FlorenceYeoh,18,1,206,6,1 3 0 2 3 1 0 1 1 0 2 2 0 2 3 2 2 1 0 3 2 0 0 3 3 3 3 1 3 1 0 1 1 0 0 2 2 1 1 0 0 2 3 1 0,33,0,3,224,True
human,FlorenceYeoh,18,1,207,7,1 3 0 2 3 1 0 1 1 0 2 2 0 2 3 2 2 1 0 3 2 0 0 3 3 3 3 1 3 1 0 1 1 3 0 2 2 1 1 0 0 2 3 1 0,17,1,3,225,True
human,FlorenceYeoh,18,1,208,8,1 3 0 2 3 1 0 1 1 0 2 2 0 2 3 2 2 3 0 3 2 0 0 3 3 3 3 1 3 1 0 1 1 3 0 2 2 1 1 0 0 2 3 1 0,9,0,2,226,True
human,FlorenceYeoh,18,1,209,9,1 3 0 2 3 1 0 1 1 2 2 2 0 2 3 2 2 3 0 3 2 0 0 3 3 3 3 1 3 1 0 1 1 3 0 2 2 1 1 0 0 2 3 1 0,13,2,0,227,True
human,FlorenceYeoh,18,1,210,10,1 3 0 2 3 1 0 1 1 2 2 2 0 0 3 2 2 3 0 3 2 0 0 3 3 3 3 1 3 1 0 1 1 3 0 2 2 1 1 0 0 2 3 1 0,0,1,0,228,True
human,FlorenceYeoh,18,1,211,11,0 3 0 2 3 1 0 1 1 2 2 2 0 0 3 2 2 3 0 3 2 0 0 3 3 3 3 1 3 1 0 1 1 3 0 2 2 1 1 0 0 2 3 1 0,40,0,3,229,True
human,FlorenceYeoh,18,1,212,12,0 3 0 2 3 1 0 1 1 2 2 2 0 0 3 2 2 3 0 3 2 0 0 3 3 3 3 1 3 1 0 1 1 3 0 2 2 1 1 0 3 2 3 1 0,22,0,2,230,True
human,FlorenceYeoh,18,1,213,13,0 3 0 2 3 1 0 1 1 2 2 2 0 0 3 2 2 3 0 3 2 0 2 3 3 3 3 1 3 1 0 1 1 3 0 2 2 1 1 0 3 2 3 1 0,15,2,0,231,True
human,FlorenceYeoh,18,1,214,14,0 3 0 2 3 1 0 1 1 2 2 2 0 0 3 0 2 3 0 3 2 0 2 3 3 3 3 1 3 1 0 1 1 3 0 2 2 1 1 0 3 2 3 1 0,17,3,1,232,True
human,FlorenceYeoh,18,1,215,15,0 3 0 2 3 1 0 1 1 2 2 2 0 0 3 0 2 1 0 3 2 0 2 3 3 3 3 1 3 1 0 1 1 3 0 2 2 1 1 0 3 2 3 1 0,31,1,0,233,True
human,FlorenceYeoh,19,1,216,1,3 0 3 1 2 2 1 0 2 3 0 3 3 3 0 0 3 3 0 1 1 1 1 0 2 1 2 3 1 0 2 3 2 2 3 0 3 1 0 2 2 1 0 0 2,18,0,3,235,True
human,FlorenceYeoh,19,1,217,2,3 0 3 1 2 2 1 0 2 3 0 3 3 3 0 0 3 3 3 1 1 1 1 0 2 1 2 3 1 0 2 3 2 2 3 0 3 1 0 2 2 1 0 0 2,13,3,1,236,True
human,FlorenceYeoh,19,1,218,3,3 0 3 1 2 2 1 0 2 3 0 3 3 1 0 0 3 3 3 1 1 1 1 0 2 1 2 3 1 0 2 3 2 2 3 0 3 1 0 2 2 1 0 0 2,32,2,0,237,True
human,FlorenceYeoh,19,1,219,4,3 0 3 1 2 2 1 0 2 3 0 3 3 1 0 0 3 3 3 1 1 1 1 0 2 1 2 3 1 0 2 3 0 2 3 0 3 1 0 2 2 1 0 0 2,21,1,0,238,True
human,FlorenceYeoh,19,1,220,5,3 0 3 1 2 2 1 0 2 3 0 3 3 1 0 0 3 3 3 1 1 0 1 0 2 1 2 3 1 0 2 3 0 2 3 0 3 1 0 2 2 1 0 0 2,1,0,1,239,True
human,FlorenceYeoh,20,1,221,1,0 1 3 2 0 2 3 1 2 2 2 0 1 2 2 2 1 0 3 0 3 1 3 3 3 3 2 1 1 2 0 3 3 3 1 2 2 0 2 3 1 1 3 0 2,37,0,3,241,True
human,FlorenceYeoh,20,1,222,2,0 1 3 2 0 2 3 1 2 2 2 0 1 2 2 2 1 0 3 0 3 1 3 3 3 3 2 1 1 2 0 3 3 3 1 2 2 3 2 3 1 1 3 0 2,37,3,1,242,True
human,FlorenceYeoh,20,1,223,3,0 1 3 2 0 2 3 1 2 2 2 0 1 2 2 2 1 0 3 0 3 1 3 3 3 3 2 1 1 2 0 3 3 3 1 2 2 1 2 3 1 1 3 0 2,1,1,3,243,True
human,FlorenceYeoh,20,1,224,4,0 3 3 2 0 2 3 1 2 2 2 0 1 2 2 2 1 0 3 0 3 1 3 3 3 3 2 1 1 2 0 3 3 3 1 2 2 1 2 3 1 1 3 0 2,39,3,0,244,True
human,FlorenceYeoh,20,1,225,5,0 3 3 2 0 2 3 1 2 2 2 0 1 2 2 2 1 0 3 0 3 1 3 3 3 3 2 1 1 2 0 3 3 3 1 2 2 1 2 0 1 1 3 0 2,26,2,0,245,True
human,FlorenceYeoh,20,1,226,6,0 3 3 2 0 2 3 1 2 2 2 0 1 2 2 2 1 0 3 0 3 1 3 3 3 3 0 1 1 2 0 3 3 3 1 2 2 1 2 0 1 1 3 0 2,44,2,0,246,True
human,FlorenceYeoh,21,1,227,1,0 2 2 3 1 2 3 3 3 1 0 2 2 1 1 1 3 2 1 1 0 0 3 3 0 3 0 0 3 1 1 1 2 1 2 1 0 2 0 2 2 3 2 0 3,18,1,0,248,True
human,FlorenceYeoh,21,1,228,2,0 2 2 3 1 2 3 3 3 1 0 2 2 1 1 1 3 2 0 1 0 0 3 3 0 3 0 0 3 1 1 1 2 1 2 1 0 2 0 2 2 3 2 0 3,5,2,3,249,True
